"filename", "language", "Shell Script", "Go", "XML", "comment", "blank", "total"
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\agent\.idea\agent.iml", "XML", 0, 0, 9, 0, 0, 9
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\agent\.idea\modules.xml", "XML", 0, 0, 8, 0, 0, 8
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\agent\.idea\vcs.xml", "XML", 0, 0, 6, 0, 0, 6
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\agent\build.sh", "Shell Script", 9, 0, 0, 1, 5, 15
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\agent\mcore\.idea\mcore.iml", "XML", 0, 0, 9, 0, 0, 9
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\agent\mcore\.idea\modules.xml", "XML", 0, 0, 8, 0, 0, 8
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\agent\mcore\.idea\vcs.xml", "XML", 0, 0, 6, 0, 0, 6
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\agent\mcore\go.mod", "XML", 0, 0, 2, 0, 2, 4
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\agent\mcore\magent.go", "Go", 0, 7, 0, 0, 3, 10
"Total", "-", 9, 7, 48, 1, 10, 75