"filename", "language", "JavaScript", "XML", "JSON", "HTML", "Python", "Shell Script", "Docker", "comment", "blank", "total"
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\api\__init__.py", "Python", 0, 0, 0, 0, -2, 0, 0, -2, -2, -6
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\api\account_api.py", "Python", 0, 0, 0, 0, -165, 0, 0, -9, -26, -200
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\api\audit_api.py", "Python", 0, 0, 0, 0, -21, 0, 0, 0, -8, -29
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\api\auth_api.py", "Python", 0, 0, 0, 0, -60, 0, 0, -8, -9, -77
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\api\config_repo_api.py", "Python", 0, 0, 0, 0, -60, 0, 0, 0, -23, -83
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\api\group_api.py", "Python", 0, 0, 0, 0, -114, 0, 0, -18, -20, -152
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\api\machine_api.py", "Python", 0, 0, 0, 0, -24, 0, 0, 0, -10, -34
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\api\overview_api.py", "Python", 0, 0, 0, 0, -3, 0, 0, 0, -3, -6
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\api\res_pool_api.py", "Python", 0, 0, 0, 0, -18, 0, 0, 0, -10, -28
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\api\safe_group_api.py", "Python", 0, 0, 0, 0, -54, 0, 0, 0, -23, -77
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\api\service_api.py", "Python", 0, 0, 0, 0, -64, 0, 0, -5, -18, -87
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\api\task_api.py", "Python", 0, 0, 0, 0, -53, 0, 0, -22, -16, -91
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\app.py", "Python", 0, 0, 0, 0, -27, 0, 0, 0, -4, -31
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\bean\__init__.py", "Python", 0, 0, 0, 0, -2, 0, 0, -2, -2, -6
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\bean\dto\__init__.py", "Python", 0, 0, 0, 0, -2, 0, 0, -2, -2, -6
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\bean\dto\account_dto.py", "Python", 0, 0, 0, 0, -75, 0, 0, -9, -33, -117
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\bean\dto\audit_dto.py", "Python", 0, 0, 0, 0, -2, 0, 0, -2, -1, -5
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\bean\dto\auth_dto.py", "Python", 0, 0, 0, 0, -7, 0, 0, 0, -3, -10
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\bean\dto\config_repo_dto.py", "Python", 0, 0, 0, 0, -2, 0, 0, -2, -1, -5
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\bean\dto\group_dto.py", "Python", 0, 0, 0, 0, -33, 0, 0, -3, -15, -51
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\bean\dto\machine_dto.py", "Python", 0, 0, 0, 0, -2, 0, 0, -2, -1, -5
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\bean\dto\res_pool_dto.py", "Python", 0, 0, 0, 0, -2, 0, 0, -2, -1, -5
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\bean\dto\safe_group_dto.py", "Python", 0, 0, 0, 0, -2, 0, 0, -2, -1, -5
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\bean\dto\service_dto.py", "Python", 0, 0, 0, 0, -2, 0, 0, -2, -1, -5
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\bean\pojo\__init__.py", "Python", 0, 0, 0, 0, -2, 0, 0, -2, -2, -6
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\bean\pojo\account.py", "Python", 0, 0, 0, 0, -68, 0, 0, -10, -35, -113
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\bean\pojo\config_repo.py", "Python", 0, 0, 0, 0, -44, 0, 0, -6, -23, -73
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\bean\pojo\group.py", "Python", 0, 0, 0, 0, -32, 0, 0, -4, -18, -54
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\bean\pojo\machine.py", "Python", 0, 0, 0, 0, -52, 0, 0, -7, -25, -84
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\bean\pojo\res_pool.py", "Python", 0, 0, 0, 0, -56, 0, 0, -8, -29, -93
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\bean\pojo\safe_group.py", "Python", 0, 0, 0, 0, -38, 0, 0, -5, -20, -63
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\bean\pojo\service.py", "Python", 0, 0, 0, 0, -50, 0, 0, -7, -26, -83
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\bean\pojo\task.py", "Python", 0, 0, 0, 0, -104, 0, 0, -16, -51, -171
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\bean\pojo\task_detail.py", "Python", 0, 0, 0, 0, -38, 0, 0, -5, -20, -63
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\core\__init__.py", "Python", 0, 0, 0, 0, -2, 0, 0, -2, -2, -6
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\core\response\__init__.py", "Python", 0, 0, 0, 0, -2, 0, 0, -2, -2, -6
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\core\response\generic_json_response.py", "Python", 0, 0, 0, 0, -11, 0, 0, -4, -3, -18
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\core\server.py", "Python", 0, 0, 0, 0, -20, 0, 0, 0, -5, -25
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\core\settings.py", "Python", 0, 0, 0, 0, -17, 0, 0, 0, -1, -18
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\job\__init__.py", "Python", 0, 0, 0, 0, -2, 0, 0, -2, -2, -6
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\job\notification_job.py", "Python", 0, 0, 0, 0, -79, 0, 0, -16, -10, -105
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\job\task_job.py", "Python", 0, 0, 0, 0, -2, 0, 0, 0, 0, -2
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\message\__init__.py", "Python", 0, 0, 0, 0, -2, 0, 0, -2, -2, -6
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\message\task_message.py", "Python", 0, 0, 0, 0, -2, 0, 0, -2, -2, -6
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\model\__init__.py", "Python", 0, 0, 0, 0, -2, 0, 0, -2, -2, -6
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\model\account_model.py", "Python", 0, 0, 0, 0, -86, 0, 0, 0, -15, -101
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\model\audit_model.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\model\config_repo_model.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\model\group_model.py", "Python", 0, 0, 0, 0, -65, 0, 0, -1, -15, -81
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\model\machine_model.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\model\res_pool_model.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\model\safe_group_model.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\model\service_model.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\model\task_detail_model.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\model\task_model.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\script\install-deps.bash", "Shell Script", 0, 0, 0, 0, 0, -52, 0, -2, -15, -69
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\script\install-gitlab-ce.bash", "Shell Script", 0, 0, 0, 0, 0, -8, 0, -1, -4, -13
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\service\__init__.py", "Python", 0, 0, 0, 0, -2, 0, 0, -2, -2, -6
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\service\account_service.py", "Python", 0, 0, 0, 0, -50, 0, 0, 0, -10, -60
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\service\audit_service.py", "Python", 0, 0, 0, 0, -4, 0, 0, 0, -2, -6
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\service\auth_service.py", "Python", 0, 0, 0, 0, -24, 0, 0, 0, -5, -29
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\service\config_repo_service.py", "Python", 0, 0, 0, 0, -19, 0, 0, 0, -7, -26
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\service\group_service.py", "Python", 0, 0, 0, 0, -32, 0, 0, 0, -9, -41
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\service\machine_service.py", "Python", 0, 0, 0, 0, -7, 0, 0, 0, -3, -10
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\service\res_pool_service.py", "Python", 0, 0, 0, 0, -7, 0, 0, 0, -3, -10
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\service\safe_group_service.py", "Python", 0, 0, 0, 0, -19, 0, 0, 0, -7, -26
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\service\service_service.py", "Python", 0, 0, 0, 0, -22, 0, 0, 0, -8, -30
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\service\task_service.py", "Python", 0, 0, 0, 0, -14, 0, 0, 0, -5, -19
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\util\__init__.py", "Python", 0, 0, 0, 0, -2, 0, 0, -2, -2, -6
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\util\date_encoder.py", "Python", 0, 0, 0, 0, -10, 0, 0, 0, -3, -13
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\util\jwt_util.py", "Python", 0, 0, 0, 0, -63, 0, 0, -14, -8, -85
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\util\request_util.py", "Python", 0, 0, 0, 0, -29, 0, 0, -13, -10, -52
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\util\string_util.py", "Python", 0, 0, 0, 0, -9, 0, 0, 0, -5, -14
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\api-server\util\token_handler.py", "Python", 0, 0, 0, 0, -33, 0, 0, 0, -5, -38
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\web\index.html", "HTML", 0, 0, 0, 65, 0, 0, 0, 0, 1, 66
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\web\package-lock.json", "JSON", 0, 0, 1878, 0, 0, 0, 0, 0, 1, 1879
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\web\package.json", "JSON", 0, 0, 24, 0, 0, 0, 0, 0, 1, 25
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\web\src\assets\image\melo.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\web\src\assets\image\undraw_ideas_re_7twj.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\web\src\assets\image\undraw_proud_coder_re_exuy.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\web\src\main.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 4, 8, 40
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\web\src\router\index.js", "JavaScript", 100, 0, 0, 0, 0, 0, 0, 0, 3, 103
"c:\Users\Pan9Hu\go\src\github.com\Pan9Hu\melo-cmdb\web\vite.config.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 5, 28
"Total", "-", 151, 3, 1902, 65, -1918, -60, 0, -225, -646, -728